hex,flight,reg,type_code,report_type,version,verdict,nac_p,nac_v,nic,sda,sil,failed_paragraphs,emergency,continuity,track_end,altitude,category,altitude_band,unstable,polls_seen,rule_airspace,year_mfr,build_cert
AC-960B0B,,,CRJ9,adsb_icao,2,pass,11,1,8,2,3,,,,last position 46 s old when last seen; not reacquired in the window,,A3,"Below 10,000 ft",,41,91.225(d)(1),2014,Type certificated
AC-CACA19,,,E50P,adsb_icao,2,pass,10,2,9,2,3,,,,,,A1,"10,000 ft to FL180",,31,91.225(d)(2),2010,Type certificated
AC-76BA3D,,,CRJ9,adsb_icao,2,pass,10,1,8,2,3,,,,last position 53 s old when last seen; not reacquired in the window,,A3,"10,000 ft to FL180",,133,91.225(d)(4),2014,Type certificated
AC-025591,,,B38M,adsb_icao,2,pass,10,2,8,2,3,,,"dropout: position went at least 59 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 1 snapshot(s), 30 s between sightings",,,A3,Surface,,81,91.225(d)(1),2021,Type certificated
AC-151304,,,BCS3,adsb_icao,2,pass,10,1,8,2,3,,,,,,A3,FL180 and above,,6,91.225(d)(4),2026,Type certificated
AC-719D34,,,A319,adsb_icao,2,pass,10,2,8,2,3,,,,,,A3,FL180 and above,,10,91.225(d)(4),2002,Type certificated
AC-0F0228,,,A319,adsb_icao,2,pass,10,2,8,2,3,,,,,,A3,FL180 and above,,53,91.225(d)(4),,Type certificated
AC-3F42B3,,,EC35,adsb_icao,2,pass,9,2,8,2,3,,,,,,A7,"Below 10,000 ft",,24,91.225(d)(2),2013,Type certificated
AC-AC3CE3,,,CRJ9,adsb_icao,2,pass,10,1,8,2,3,,,,last position 57 s old when last seen; not reacquired in the window,,A3,"Below 10,000 ft",,25,91.225(d)(1),2015,Type certificated
AC-41F5AC,,,CL35,adsb_icao,2,pass,10,1,8,2,3,,,,,,A2,FL180 and above,,106,91.225(d)(4),2019,Type certificated
AC-AFFEE4,,,A321,adsb_icao,2,pass,10,2,8,2,3,,,,,,A3,FL180 and above,,88,91.225(d)(4),2018,Type certificated
AC-6101B5,,,LJ60,adsb_icao,2,pass,10,1,8,2,3,,,"dropout: position went at least 60 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 2 snapshot(s), 45 s between sightings; dropout: absent from 1 snapshot(s), 29 s between sightings; dropout: absent from 8 snapshot(s), 135 s between sightings; dropout: absent from 34 snapshot(s), 526 s between sightings; dropout: absent from 6 snapshot(s), 105 s between sightings",,,A2,Surface,sil alternated between 2 and 3 (3 changes),45,91.225(d)(2),2008,Type certificated
AC-C35AED,,,E55P,adsb_icao,2,pass,10,2,8,2,3,,,"dropout: position went at least 52 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 31 snapshot(s), 480 s between sightings",,,A2,"Below 10,000 ft",nic alternated between 0 and 8 (2 changes),179,91.225(d)(2),2012,Type certificated
AC-564EE1,,,A321,adsb_icao,2,pass,10,2,8,2,3,,,,last position 57 s old when last seen; not reacquired in the window,,A3,"10,000 ft to FL180",,90,91.225(d)(4),2018,Type certificated
AC-920A14,,,B738,adsb_icao,2,pass,9,1,8,2,3,,,,,,A3,FL180 and above,,16,91.225(d)(4),2017,Type certificated
AC-EB01B1,,,A321,adsb_icao,2,pass,10,1,8,2,3,,,,,,A3,FL180 and above,,42,91.225(d)(4),2018,Type certificated
AC-5842C4,,,P28A,adsb_icao,2,pass,10,2,9,2,3,,,,,,A1,"Below 10,000 ft",sil alternated between 2 and 3 (1 change),76,91.225(d)(1),2022,Type certificated
AC-C687BC,,,S76,adsb_icao,2,pass,10,1,8,2,3,,,,,,A7,"Below 10,000 ft",,119,91.225(d)(1),2009,Type certificated
AC-24B81E,,,A319,adsb_icao,2,pass,10,1,8,2,3,,,,last position 58 s old when last seen; not reacquired in the window,,A3,Surface,,6,91.225(d)(1),2003,Type certificated
AC-5D245A,,,A20N,adsb_icao,2,pass,10,2,8,3,3,,,,,,A3,FL180 and above,,83,91.225(d)(4),2019,Type certificated
AC-E55039,,,GLF5,adsb_icao,2,pass,10,2,8,2,3,,,"dropout: position went at least 53 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 1 snapshot(s), 29 s between sightings; dropout: absent from 3 snapshot(s), 60 s between sightings; dropout: absent from 9 snapshot(s), 151 s between sightings; dropout: absent from 6 snapshot(s), 105 s between sightings; dropout: absent from 2 snapshot(s), 45 s between sightings",,,A3,"Below 10,000 ft",sil alternated between 2 and 3 (4 changes),77,91.225(d)(2),2005,Type certificated
AC-3BCDA4,,,E55P,adsb_icao,2,pass,10,2,8,2,3,,,,,,A2,FL180 and above,,34,91.225(d)(4),2015,Type certificated
AC-75A843,,,M20P,adsb_icao,2,pass,10,2,8,2,3,,,"dropout: position went at least 41 s without a refresh, then reacquired (threshold 20 s)",,,A1,"Below 10,000 ft",nac_p alternated between 0 and 10 (1 change); nac_v alternated between 0 and 2 (1 change); nic alternated between 0 and 8 (1 change); sil alternated between 0 and 3 (1 change),129,91.225(d)(2),1979,Type certificated
AC-DD9222,,,B738,adsb_icao,2,pass,10,2,8,2,3,,,,,,A3,FL180 and above,,47,91.225(d)(4),2000,Type certificated
AC-332541,,,B38M,adsb_icao,2,pass,10,2,8,2,3,,,,,,A3,FL180 and above,,130,91.225(d)(4),2023,Type certificated
AC-F6F4B6,,,B38M,adsb_icao,2,pass,10,2,8,2,3,,,,,,A3,FL180 and above,,100,91.225(d)(4),2023,Type certificated
AC-9F2CF2,,,B38M,adsb_icao,2,pass,10,2,8,2,3,,,"dropout: position went at least 54 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 19 snapshot(s), 300 s between sightings; dropout: absent from 10 snapshot(s), 165 s between sightings",,,A3,FL180 and above,sil alternated between 2 and 3 (2 changes),127,91.225(d)(1),2025,Type certificated
AC-4DDCDF,,,B738,adsb_icao,2,pass,10,2,8,2,3,,,,,,A3,FL180 and above,,94,91.225(d)(4),2000,Type certificated
AC-7FC742,,,GLF6,adsb_icao,2,pass,10,2,8,2,3,,,,last position 55 s old when last seen; not reacquired in the window,,A3,Surface,nic alternated between 0 and 8 (1 change),11,91.225(d)(1),2013,Type certificated
AC-1AAAB2,,,E55P,adsb_icao,2,pass,10,2,8,2,3,,,,,,A2,FL180 and above,,101,91.225(d)(4),2016,Type certificated
AC-EA387F,,,B738,adsb_icao,2,pass,10,2,8,2,3,,,,,,A3,FL180 and above,,132,91.225(d)(4),2001,Type certificated
AC-CD9C2C,,,B738,adsb_icao,2,pass,10,2,8,2,3,,,"dropout: position went at least 24 s without a refresh, then reacquired (threshold 20 s)",,,A3,FL180 and above,,130,91.225(d)(1),2001,Type certificated
